"Label (Grouping)","Iowa!!Estimate","Iowa!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error"
"Total:","3,207,004","*****","5,737,915","*****","1,978,379","*****","783,926","*****","919,318","*****"
"    Male:","1,602,313","±4,236","2,870,008","±3,977","992,409","±3,297","400,491","±3,140","468,222","±2,163"
"        Under 5 years","93,117","±2,099","165,274","±2,139","61,792","±2,104","22,854","±1,680","29,433","±1,351"
"        5 to 9 years","100,862","±4,044","176,649","±4,712","67,061","±2,938","26,207","±1,956","30,573","±2,081"
"        10 to 14 years","107,323","±4,393","199,220","±4,449","72,243","±3,154","26,911","±1,863","35,155","±2,382"
"        15 to 17 years","67,889","±2,236","115,887","±1,555","45,229","±1,789","14,802","±1,141","19,826","±1,305"
"        18 and 19 years","48,548","±2,646","78,585","±2,760","26,597","±1,713","12,140","±2,011","12,772","±1,444"
"        20 years","24,556","±2,611","37,958","±3,422","12,703","±1,841","5,995","±1,621","7,331","±1,235"
"        21 years","22,211","±2,469","36,833","±3,444","16,661","±2,245","6,808","±1,349","5,830","±1,267"
"        22 to 24 years","69,726","±4,160","103,301","±4,581","43,041","±2,632","18,581","±2,383","19,389","±1,694"
"        25 to 29 years","100,039","±2,666","182,032","±2,351","64,709","±1,332","31,676","±2,263","28,326","±1,384"
"        30 to 34 years","104,038","±2,730","194,477","±1,953","65,890","±1,804","30,222","±1,446","30,148","±1,713"
"        35 to 39 years","98,453","±4,154","205,627","±5,476","66,623","±3,172","29,886","±2,110","31,080","±2,369"
"        40 to 44 years","108,437","±4,692","192,073","±5,406","65,200","±3,087","26,302","±2,490","29,854","±2,040"
"        45 to 49 years","93,009","±2,182","169,710","±1,980","57,340","±1,434","21,267","±1,260","25,904","±1,338"
"        50 to 54 years","93,216","±2,110","172,176","±2,290","55,205","±1,265","19,338","±1,020","24,811","±1,192"
"        55 to 59 years","92,003","±3,247","171,982","±4,969","50,929","±2,682","18,383","±1,655","26,364","±1,655"
"        60 and 61 years","41,270","±3,011","77,030","±2,709","26,957","±2,041","10,620","±1,327","12,235","±1,640"
"        62 to 64 years","63,630","±2,883","114,510","±4,293","37,129","±2,402","15,235","±1,360","18,913","±1,775"
"        65 and 66 years","37,231","±2,465","70,791","±3,271","23,628","±1,825","8,153","±1,281","10,920","±1,572"
