"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Percent!!Estimate","Iowa!!Percent!!Margin of Error","Iowa!!Male!!Estimate","Iowa!!Male!!Margin of Error","Iowa!!Percent Male!!Estimate","Iowa!!Percent Male!!Margin of Error","Iowa!!Female!!Estimate","Iowa!!Female!!Margin of Error","Iowa!!Percent Female!!Estimate","Iowa!!Percent Female!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Percent!!Estimate","Minnesota!!Percent!!Margin of Error","Minnesota!!Male!!Estimate","Minnesota!!Male!!Margin of Error","Minnesota!!Percent Male!!Estimate","Minnesota!!Percent Male!!Margin of Error","Minnesota!!Female!!Estimate","Minnesota!!Female!!Margin of Error","Minnesota!!Percent Female!!Estimate","Minnesota!!Percent Female!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Percent!!Estimate","Nebraska!!Percent!!Margin of Error","Nebraska!!Male!!Estimate","Nebraska!!Male!!Margin of Error","Nebraska!!Percent Male!!Estimate","Nebraska!!Percent Male!!Margin of Error","Nebraska!!Female!!Estimate","Nebraska!!Female!!Margin of Error","Nebraska!!Percent Female!!Estimate","Nebraska!!Percent Female!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Percent!!Estimate","North Dakota!!Percent!!Margin of Error","North Dakota!!Male!!Estimate","North Dakota!!Male!!Margin of Error","North Dakota!!Percent Male!!Estimate","North Dakota!!Percent Male!!Margin of Error","North Dakota!!Female!!Estimate","North Dakota!!Female!!Margin of Error","North Dakota!!Percent Female!!Estimate","North Dakota!!Percent Female!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Percent!!Estimate","South Dakota!!Percent!!Margin of Error","South Dakota!!Male!!Estimate","South Dakota!!Male!!Margin of Error","South Dakota!!Percent Male!!Estimate","South Dakota!!Percent Male!!Margin of Error","South Dakota!!Female!!Estimate","South Dakota!!Female!!Margin of Error","South Dakota!!Percent Female!!Estimate","South Dakota!!Percent Female!!Margin of Error"
"Total population","3,207,004","*****","(X)","(X)","1,602,313","±4,236","(X)","(X)","1,604,691","±4,236","(X)","(X)","5,737,915","*****","(X)","(X)","2,870,008","±3,977","(X)","(X)","2,867,907","±3,977","(X)","(X)","1,978,379","*****","(X)","(X)","992,409","±3,297","(X)","(X)","985,970","±3,297","(X)","(X)","783,926","*****","(X)","(X)","400,491","±3,140","(X)","(X)","383,435","±3,140","(X)","(X)","919,318","*****","(X)","(X)","468,222","±2,163","(X)","(X)","451,096","±2,163","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","182,063","±2,132","5.7%","±0.1","93,117","±2,099","5.8%","±0.1","88,946","±2,365","5.5%","±0.1","326,995","±2,524","5.7%","±0.1","165,274","±2,139","5.8%","±0.1","161,721","±1,910","5.6%","±0.1","120,499","±1,892","6.1%","±0.1","61,792","±2,104","6.2%","±0.2","58,707","±1,655","6.0%","±0.2","46,488","±1,848","5.9%","±0.2","22,854","±1,680","5.7%","±0.4","23,634","±1,417","6.2%","±0.4","54,886","±1,016","6.0%","±0.1","29,433","±1,351","6.3%","±0.3","25,453","±1,307","5.6%","±0.3"
"        5 to 9 years","200,296","±5,928","6.2%","±0.2","100,862","±4,044","6.3%","±0.3","99,434","±3,820","6.2%","±0.2","348,596","±7,136","6.1%","±0.1","176,649","±4,712","6.2%","±0.2","171,947","±4,981","6.0%","±0.2","130,577","±4,399","6.6%","±0.2","67,061","±2,938","6.8%","±0.3","63,516","±3,013","6.4%","±0.3","52,058","±2,561","6.6%","±0.3","26,207","±1,956","6.5%","±0.5","25,851","±1,870","6.7%","±0.5","61,176","±2,710","6.7%","±0.3","30,573","±2,081","6.5%","±0.4","30,603","±1,927","6.8%","±0.4"
"        10 to 14 years","210,274","±6,037","6.6%","±0.2","107,323","±4,393","6.7%","±0.3","102,951","±3,766","6.4%","±0.2","385,909","±6,411","6.7%","±0.1","199,220","±4,449","6.9%","±0.2","186,689","±4,972","6.5%","±0.2","141,003","±4,282","7.1%","±0.2","72,243","±3,154","7.3%","±0.3","68,760","±2,935","7.0%","±0.3","51,737","±2,969","6.6%","±0.4","26,911","±1,863","6.7%","±0.5","24,826","±2,184","6.5%","±0.6","64,030","±3,018","7.0%","±0.3","35,155","±2,382","7.5%","±0.5","28,875","±2,126","6.4%","±0.5"
"        15 to 19 years","225,470","±3,722","7.0%","±0.1","116,437","±3,301","7.3%","±0.2","109,033","±2,861","6.8%","±0.2","386,002","±3,745","6.7%","±0.1","194,472","±2,955","6.8%","±0.1","191,530","±2,559","6.7%","±0.1","138,455","±2,284","7.0%","±0.1","71,826","±2,421","7.2%","±0.2","66,629","±2,305","6.8%","±0.2","54,372","±2,739","6.9%","±0.3","26,942","±2,156","6.7%","±0.5","27,430","±2,485","7.2%","±0.6","65,802","±2,415","7.2%","±0.3","32,598","±1,917","7.0%","±0.4","33,204","±2,316","7.4%","±0.5"
"        20 to 24 years","222,476","±4,164","6.9%","±0.1","116,493","±3,023","7.3%","±0.2","105,983","±2,534","6.6%","±0.2","348,838","±3,819","6.1%","±0.1","178,092","±2,577","6.2%","±0.1","170,746","±2,773","6.0%","±0.1","140,599","±2,796","7.1%","±0.1","72,405","±2,018","7.3%","±0.2","68,194","±2,068","6.9%","±0.2","59,265","±3,128","7.6%","±0.4","31,384","±2,332","7.8%","±0.6","27,881","±2,076","7.3%","±0.5","57,907","±2,480","6.3%","±0.3","32,550","±1,861","7.0%","±0.4","25,357","±1,910","5.6%","±0.4"
"        25 to 29 years","197,296","±3,382","6.2%","±0.1","100,039","±2,666","6.2%","±0.2","97,257","±2,235","6.1%","±0.1","359,264","±3,269","6.3%","±0.1","182,032","±2,351","6.3%","±0.1","177,232","±2,124","6.2%","±0.1","125,649","±2,115","6.4%","±0.1","64,709","±1,332","6.5%","±0.1","60,940","±1,624","6.2%","±0.2","59,807","±2,835","7.6%","±0.4","31,676","±2,263","7.9%","±0.5","28,131","±1,981","7.3%","±0.5","56,897","±2,164","6.2%","±0.2","28,326","±1,384","6.0%","±0.3","28,571","±1,843","6.3%","±0.4"
"        30 to 34 years","201,330","±4,019","6.3%","±0.1","104,038","±2,730","6.5%","±0.2","97,292","±2,637","6.1%","±0.2","380,411","±2,913","6.6%","±0.1","194,477","±1,953","6.8%","±0.1","185,934","±2,035","6.5%","±0.1","128,558","±2,730","6.5%","±0.1","65,890","±1,804","6.6%","±0.2","62,668","±1,947","6.4%","±0.2","55,024","±2,286","7.0%","±0.3","30,222","±1,446","7.5%","±0.4","24,802","±1,686","6.5%","±0.4","58,090","±2,328","6.3%","±0.3","30,148","±1,713","6.4%","±0.4","27,942","±1,224","6.2%","±0.3"
"        35 to 39 years","198,873","±6,023","6.2%","±0.2","98,453","±4,154","6.1%","±0.3","100,420","±4,137","6.3%","±0.3","403,217","±8,487","7.0%","±0.1","205,627","±5,476","7.2%","±0.2","197,590","±5,281","6.9%","±0.2","129,056","±4,104","6.5%","±0.2","66,623","±3,172","6.7%","±0.3","62,433","±2,526","6.3%","±0.3","56,787","±3,220","7.2%","±0.4","29,886","±2,110","7.5%","±0.5","26,901","±2,118","7.0%","±0.5","61,874","±3,359","6.7%","±0.4","31,080","±2,369","6.6%","±0.5","30,794","±2,161","6.8%","±0.5"
