"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Moved; within same county!!Estimate","Iowa!!Moved; within same county!!Margin of Error","Iowa!!Moved; from different county, same state!!Estimate","Iowa!!Moved; from different county, same state!!Margin of Error","Iowa!!Moved; from different  state!!Estimate","Iowa!!Moved; from different  state!!Margin of Error","Iowa!!Moved; from abroad!!Estimate","Iowa!!Moved; from abroad!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Moved; within same county!!Estimate","Minnesota!!Moved; within same county!!Margin of Error","Minnesota!!Moved; from different county, same state!!Estimate","Minnesota!!Moved; from different county, same state!!Margin of Error","Minnesota!!Moved; from different  state!!Estimate","Minnesota!!Moved; from different  state!!Margin of Error","Minnesota!!Moved; from abroad!!Estimate","Minnesota!!Moved; from abroad!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Moved; within same county!!Estimate","Nebraska!!Moved; within same county!!Margin of Error","Nebraska!!Moved; from different county, same state!!Estimate","Nebraska!!Moved; from different county, same state!!Margin of Error","Nebraska!!Moved; from different  state!!Estimate","Nebraska!!Moved; from different  state!!Margin of Error","Nebraska!!Moved; from abroad!!Estimate","Nebraska!!Moved; from abroad!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Moved; within same county!!Estimate","North Dakota!!Moved; within same county!!Margin of Error","North Dakota!!Moved; from different county, same state!!Estimate","North Dakota!!Moved; from different county, same state!!Margin of Error","North Dakota!!Moved; from different  state!!Estimate","North Dakota!!Moved; from different  state!!Margin of Error","North Dakota!!Moved; from abroad!!Estimate","North Dakota!!Moved; from abroad!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Moved; within same county!!Estimate","South Dakota!!Moved; within same county!!Margin of Error","South Dakota!!Moved; from different county, same state!!Estimate","South Dakota!!Moved; from different county, same state!!Margin of Error","South Dakota!!Moved; from different  state!!Estimate","South Dakota!!Moved; from different  state!!Margin of Error","South Dakota!!Moved; from abroad!!Estimate","South Dakota!!Moved; from abroad!!Margin of Error"
"Population 1 year and over","3,170,553","±2,496","6.2%","±0.4","3.4%","±0.2","2.3%","±0.2","0.5%","±0.1","5,673,119","±3,488","5.1%","±0.2","4.2%","±0.2","1.8%","±0.1","0.5%","±0.1","1,956,041","±2,171","6.7%","±0.5","3.2%","±0.3","2.5%","±0.2","0.7%","±0.2","774,985","±1,327","7.9%","±0.8","2.8%","±0.3","4.4%","±0.6","0.9%","±0.2","907,196","±1,593","4.8%","±0.6","3.1%","±0.4","3.3%","±0.5","0.2%","±0.1"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        1 to 4 years","145,612","±2,814","6.9%","±1.2","3.2%","±0.7","2.2%","±0.7","0.8%","±0.4","262,199","±3,659","5.6%","±0.9","5.1%","±1.0","1.4%","±0.4","0.6%","±0.3","98,161","±2,447","8.7%","±1.7","3.3%","±0.9","3.0%","±1.1","0.5%","±0.4","37,547","±2,144","7.8%","±3.0","2.3%","±1.2","3.5%","±1.7","1.1%","±1.3","42,764","±1,721","6.4%","±2.6","4.1%","±2.0","3.5%","±1.7","0.1%","±0.2"
"        5 to 17 years","543,484","±3,251","5.5%","±0.9","1.7%","±0.3","1.3%","±0.3","0.5%","±0.3","967,980","±2,702","3.8%","±0.4","2.6%","±0.4","1.0%","±0.3","0.5%","±0.2","358,095","±2,367","5.4%","±1.1","1.7%","±0.4","1.9%","±0.5","0.8%","±0.4","133,112","±2,363","5.8%","±1.5","1.1%","±0.5","1.8%","±0.7","0.3%","±0.3","163,921","±1,541","2.5%","±0.8","1.4%","±0.5","2.5%","±1.1","0.1%","±0.1"
"        18 to 24 years","315,032","±4,238","16.2%","±1.2","12.5%","±1.2","7.7%","±0.8","0.9%","±0.3","501,365","±3,592","12.4%","±0.9","14.0%","±0.9","6.0%","±0.6","1.4%","±0.3","192,539","±2,229","16.6%","±1.8","10.6%","±1.2","5.7%","±1.0","0.9%","±0.4","84,320","±2,883","19.9%","±2.6","8.0%","±1.7","20.3%","±3.1","1.0%","±0.5","84,994","±2,440","10.0%","±2.3","10.1%","±1.6","8.8%","±1.7","0.5%","±0.4"
"        25 to 34 years","398,626","±4,804","8.8%","±1.0","5.8%","±0.7","3.3%","±0.4","1.1%","±0.3","739,675","±4,338","9.6%","±0.8","7.3%","±0.6","3.6%","±0.4","0.7%","±0.2","254,207","±3,167","10.5%","±1.1","5.1%","±0.7","4.6%","±0.8","1.3%","±0.5","114,831","±3,034","13.7%","±2.2","4.4%","±1.0","5.2%","±1.4","3.2%","±1.2","114,987","±3,159","9.4%","±2.0","5.7%","±1.3","3.5%","±1.1","0.6%","±0.3"
"        35 to 44 years","410,413","±4,437","6.0%","±0.8","2.8%","±0.5","2.0%","±0.4","0.8%","±0.3","784,774","±3,522","4.7%","±0.5","3.6%","±0.4","1.3%","±0.3","0.8%","±0.2","262,121","±2,805","6.4%","±1.1","2.6%","±0.6","2.5%","±0.6","0.7%","±0.4","106,705","±3,157","6.3%","±1.6","1.5%","±0.6","3.9%","±1.4","0.3%","±0.2","118,255","±2,340","5.5%","±1.3","3.0%","±0.8","4.3%","±1.3","0.4%","±0.3"
"        45 to 54 years","364,366","±3,398","3.5%","±0.6","1.6%","±0.3","1.5%","±0.4","0.1%","±0.1","665,862","±3,843","2.9%","±0.3","2.3%","±0.3","0.7%","±0.2","0.3%","±0.2","220,460","±2,954","3.4%","±0.7","2.5%","±0.6","1.4%","±0.4","0.5%","±0.2","76,863","±2,214","5.2%","±1.6","2.6%","±1.1","1.3%","±0.9","0.6%","±0.4","98,654","±2,343","3.0%","±0.9","1.8%","±0.7","2.7%","±1.1","0.2%","±0.3"
"        55 to 64 years","398,132","±2,405","3.1%","±0.5","1.6%","±0.3","1.3%","±0.4","0.2%","±0.1","725,336","±2,637","2.2%","±0.3","1.7%","±0.2","1.0%","±0.2","0.2%","±0.1","229,533","±1,804","3.2%","±0.7","1.4%","±0.4","1.5%","±0.4","0.3%","±0.1","87,652","±1,524","2.9%","±1.0","1.6%","±0.8","1.6%","±0.9","0.3%","±0.3","114,035","±1,407","2.7%","±0.7","1.5%","±0.5","2.5%","±0.9","0.1%","±0.1"
"        65 to 74 years","345,223","±2,001","2.1%","±0.4","1.1%","±0.2","1.0%","±0.3","0.3%","±0.1","606,461","±2,361","2.1%","±0.2","1.6%","±0.3","0.7%","±0.1","0.2%","±0.1","201,646","±1,715","2.6%","±0.5","1.3%","±0.4","0.8%","±0.4","0.2%","±0.2","77,639","±1,015","2.1%","±1.1","1.2%","±0.7","1.1%","±0.5","0.8%","±0.8","103,558","±1,202","2.5%","±0.8","1.0%","±0.4","1.6%","±0.6","0.1%","±0.1"
