"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Percent!!Estimate","Iowa!!Percent!!Margin of Error","Iowa!!In public school!!Estimate","Iowa!!In public school!!Margin of Error","Iowa!!Percent in public school!!Estimate","Iowa!!Percent in public school!!Margin of Error","Iowa!!In private school!!Estimate","Iowa!!In private school!!Margin of Error","Iowa!!Percent in private school!!Estimate","Iowa!!Percent in private school!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Percent!!Estimate","Minnesota!!Percent!!Margin of Error","Minnesota!!In public school!!Estimate","Minnesota!!In public school!!Margin of Error","Minnesota!!Percent in public school!!Estimate","Minnesota!!Percent in public school!!Margin of Error","Minnesota!!In private school!!Estimate","Minnesota!!In private school!!Margin of Error","Minnesota!!Percent in private school!!Estimate","Minnesota!!Percent in private school!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Percent!!Estimate","Nebraska!!Percent!!Margin of Error","Nebraska!!In public school!!Estimate","Nebraska!!In public school!!Margin of Error","Nebraska!!Percent in public school!!Estimate","Nebraska!!Percent in public school!!Margin of Error","Nebraska!!In private school!!Estimate","Nebraska!!In private school!!Margin of Error","Nebraska!!Percent in private school!!Estimate","Nebraska!!Percent in private school!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Percent!!Estimate","North Dakota!!Percent!!Margin of Error","North Dakota!!In public school!!Estimate","North Dakota!!In public school!!Margin of Error","North Dakota!!Percent in public school!!Estimate","North Dakota!!Percent in public school!!Margin of Error","North Dakota!!In private school!!Estimate","North Dakota!!In private school!!Margin of Error","North Dakota!!Percent in private school!!Estimate","North Dakota!!Percent in private school!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Percent!!Estimate","South Dakota!!Percent!!Margin of Error","South Dakota!!In public school!!Estimate","South Dakota!!In public school!!Margin of Error","South Dakota!!Percent in public school!!Estimate","South Dakota!!Percent in public school!!Margin of Error","South Dakota!!In private school!!Estimate","South Dakota!!In private school!!Margin of Error","South Dakota!!Percent in private school!!Estimate","South Dakota!!Percent in private school!!Margin of Error"
"Population 3 years and over enrolled in school","783,658","±8,079","(X)","(X)","(X)","(X)","83.8%","±0.9","(X)","(X)","16.2%","±0.9","1,387,871","±11,012","(X)","(X)","(X)","(X)","82.6%","±0.5","(X)","(X)","17.4%","±0.5","514,983","±6,870","(X)","(X)","(X)","(X)","82.7%","±1.3","(X)","(X)","17.3%","±1.3","194,812","±4,600","(X)","(X)","(X)","(X)","87.4%","±1.7","(X)","(X)","12.6%","±1.7","218,063","±4,036","(X)","(X)","(X)","(X)","87.1%","±1.2","(X)","(X)","12.9%","±1.2"
"    Nursery school, preschool","51,004","±3,313","6.5%","±0.4","35,037","±2,900","68.7%","±3.6","15,967","±2,102","31.3%","±3.6","86,508","±4,223","6.2%","±0.3","54,738","±3,662","63.3%","±2.5","31,770","±2,535","36.7%","±2.5","32,899","±2,981","6.4%","±0.6","21,217","±2,307","64.5%","±4.5","11,682","±1,889","35.5%","±4.5","8,629","±1,305","4.4%","±0.7","4,182","±811","48.5%","±7.9","4,447","±1,057","51.5%","±7.9","13,007","±1,666","6.0%","±0.7","10,143","±1,492","78.0%","±5.2","2,864","±752","22.0%","±5.2"
"    Kindergarten to 12th grade","538,687","±4,814","68.7%","±0.7","474,925","±7,249","88.2%","±1.0","63,762","±5,263","11.8%","±1.0","967,632","±5,041","69.7%","±0.5","846,648","±7,795","87.5%","±0.6","120,984","±5,470","12.5%","±0.6","355,494","±3,743","69.0%","±0.9","306,845","±5,963","86.3%","±1.4","48,649","±5,035","13.7%","±1.4","127,665","±3,276","65.5%","±1.5","114,417","±4,153","89.6%","±1.9","13,248","±2,390","10.4%","±1.9","159,821","±2,941","73.3%","±1.3","140,662","±3,462","88.0%","±1.5","19,159","±2,424","12.0%","±1.5"
"        Kindergarten","40,321","±2,965","5.1%","±0.4","34,654","±2,791","85.9%","±2.1","5,667","±911","14.1%","±2.1","68,323","±3,645","4.9%","±0.3","56,967","±3,308","83.4%","±2.0","11,356","±1,515","16.6%","±2.0","22,969","±2,689","4.5%","±0.5","19,776","±2,489","86.1%","±4.0","3,193","±983","13.9%","±4.0","9,880","±1,510","5.1%","±0.7","8,171","±1,404","82.7%","±6.4","1,709","±687","17.3%","±6.4","12,466","±1,495","5.7%","±0.7","10,812","±1,385","86.7%","±5.4","1,654","±725","13.3%","±5.4"
"        Elementary: grade 1 to grade 4","159,263","±4,947","20.3%","±0.7","136,035","±4,952","85.4%","±1.5","23,228","±2,403","14.6%","±1.5","284,400","±6,362","20.5%","±0.5","242,738","±6,258","85.4%","±1.0","41,662","±3,095","14.6%","±1.0","107,173","±3,939","20.8%","±0.8","91,042","±4,030","84.9%","±2.2","16,131","±2,394","15.1%","±2.2","39,842","±2,284","20.5%","±1.3","35,181","±2,372","88.3%","±3.0","4,661","±1,206","11.7%","±3.0","47,169","±2,751","21.6%","±1.3","42,070","±2,875","89.2%","±2.5","5,099","±1,138","10.8%","±2.5"
"        Elementary: grade 5 to grade 8","170,227","±6,218","21.7%","±0.8","150,468","±6,781","88.4%","±1.6","19,759","±2,609","11.6%","±1.6","303,968","±5,974","21.9%","±0.4","263,023","±6,288","86.5%","±1.0","40,945","±3,135","13.5%","±1.0","112,676","±4,528","21.9%","±0.9","97,583","±4,704","86.6%","±2.1","15,093","±2,456","13.4%","±2.1","39,908","±2,874","20.5%","±1.4","36,594","±2,704","91.7%","±1.9","3,314","±795","8.3%","±1.9","48,692","±2,501","22.3%","±1.1","42,722","±2,669","87.7%","±2.6","5,970","±1,247","12.3%","±2.6"
"        High school: grade 9 to grade 12","168,876","±3,815","21.5%","±0.5","153,768","±4,430","91.1%","±1.2","15,108","±1,881","8.9%","±1.2","310,941","±4,929","22.4%","±0.4","283,920","±5,373","91.3%","±0.8","27,021","±2,644","8.7%","±0.8","112,676","±2,877","21.9%","±0.6","98,444","±3,099","87.4%","±1.7","14,232","±2,000","12.6%","±1.7","38,035","±2,619","19.5%","±1.3","34,471","±2,800","90.6%","±3.3","3,564","±1,239","9.4%","±3.3","51,494","±2,665","23.6%","±1.2","45,058","±2,551","87.5%","±2.2","6,436","±1,166","12.5%","±2.2"
"    College, undergraduate","154,905","±5,802","19.8%","±0.6","120,219","±5,322","77.6%","±1.5","34,686","±2,478","22.4%","±1.5","259,302","±7,310","18.7%","±0.4","199,407","±7,615","76.9%","±1.4","59,895","±3,464","23.1%","±1.4","95,408","±5,525","18.5%","±0.9","74,606","±4,751","78.2%","±3.5","20,802","±3,776","21.8%","±3.5","47,403","±3,397","24.3%","±1.4","42,800","±3,350","90.3%","±2.1","4,603","±991","9.7%","±2.1","36,584","±2,198","16.8%","±0.9","32,220","±2,222","88.1%","±2.4","4,364","±899","11.9%","±2.4"
"    Graduate, professional school","39,062","±3,215","5.0%","±0.4","26,621","±2,480","68.2%","±4.0","12,441","±1,984","31.8%","±4.0","74,429","±5,266","5.4%","±0.4","46,199","±4,145","62.1%","±3.0","28,230","±2,800","37.9%","±3.0","31,182","±3,197","6.1%","±0.6","23,292","±2,888","74.7%","±4.3","7,890","±1,475","25.3%","±4.3","11,115","±1,970","5.7%","±1.0","8,917","±1,880","80.2%","±7.5","2,198","±886","19.8%","±7.5","8,651","±1,846","4.0%","±0.8","6,877","±1,631","79.5%","±7.5","1,774","±725","20.5%","±7.5"
"Population enrolled in college or graduate school","193,967","±6,021","24.8%","±0.6","146,840","±5,411","75.7%","±1.4","47,127","±3,017","24.3%","±1.4","333,731","±8,555","24.0%","±0.5","245,606","±8,212","73.6%","±1.3","88,125","±4,573","26.4%","±1.3","126,590","±5,926","24.6%","±0.9","97,898","±5,443","77.3%","±2.9","28,692","±3,989","22.7%","±2.9","58,518","±3,781","30.0%","±1.5","51,717","±3,629","88.4%","±2.5","6,801","±1,520","11.6%","±2.5","45,235","±2,985","20.7%","±1.2","39,097","±2,729","86.4%","±2.5","6,138","±1,206","13.6%","±2.5"
