"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Below poverty level!!Estimate","Iowa!!Below poverty level!!Margin of Error","Iowa!!Percent below poverty level!!Estimate","Iowa!!Percent below poverty level!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Below poverty level!!Estimate","Minnesota!!Below poverty level!!Margin of Error","Minnesota!!Percent below poverty level!!Estimate","Minnesota!!Percent below poverty level!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Below poverty level!!Estimate","Nebraska!!Below poverty level!!Margin of Error","Nebraska!!Percent below poverty level!!Estimate","Nebraska!!Percent below poverty level!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Below poverty level!!Estimate","North Dakota!!Below poverty level!!Margin of Error","North Dakota!!Percent below poverty level!!Estimate","North Dakota!!Percent below poverty level!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Below poverty level!!Estimate","South Dakota!!Below poverty level!!Margin of Error","South Dakota!!Percent below poverty level!!Estimate","South Dakota!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","3,108,670","±2,176","351,224","±14,199","11.3%","±0.5","5,617,947","±2,228","520,602","±17,281","9.3%","±0.3","1,931,461","±1,141","202,078","±12,736","10.5%","±0.7","755,048","±1,286","73,841","±5,342","9.8%","±0.7","890,853","±963","104,684","±8,555","11.8%","±1.0"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","714,650","±3,060","96,849","±7,841","13.6%","±1.1","1,278,430","±2,950","129,601","±9,049","10.1%","±0.7","472,510","±1,982","52,628","±6,101","11.1%","±1.3","175,843","±2,728","15,348","±2,970","8.7%","±1.7","215,575","±1,814","31,477","±4,832","14.6%","±2.2"
"            Under 5 years","178,341","±2,764","27,260","±3,197","15.3%","±1.8","322,605","±2,832","33,516","±3,606","10.4%","±1.1","118,697","±1,947","14,977","±2,694","12.6%","±2.2","45,023","±1,781","3,575","±1,060","7.9%","±2.4","54,199","±1,059","8,240","±1,529","15.2%","±2.8"
"            5 to 17 years","536,309","±3,765","69,589","±6,143","13.0%","±1.1","955,825","±3,159","96,085","±7,297","10.1%","±0.8","353,813","±2,687","37,651","±4,501","10.6%","±1.3","130,820","±2,523","11,773","±2,690","9.0%","±2.0","161,376","±1,720","23,237","±3,975","14.4%","±2.4"
"            Related children of householder under 18 years","710,555","±3,284","92,886","±7,705","13.1%","±1.1","1,274,543","±3,142","125,975","±8,947","9.9%","±0.7","469,894","±2,158","50,245","±6,100","10.7%","±1.3","174,913","±2,751","14,441","±2,942","8.3%","±1.7","214,592","±1,872","30,710","±4,776","14.3%","±2.2"
"        18 to 64 years","1,825,534","±3,014","201,060","±9,190","11.0%","±0.5","3,349,683","±3,341","297,041","±10,580","8.9%","±0.3","1,129,124","±2,098","115,510","±7,658","10.2%","±0.7","452,279","±2,451","44,716","±3,747","9.9%","±0.8","513,238","±2,016","58,924","±4,613","11.5%","±0.9"
"            18 to 34 years","663,304","±4,003","105,179","±5,912","15.9%","±0.9","1,186,073","±3,726","143,501","±7,832","12.1%","±0.7","422,006","±3,242","62,623","±5,914","14.8%","±1.4","182,617","±2,905","27,230","±3,298","14.9%","±1.8","186,695","±2,478","28,401","±3,621","15.2%","±1.9"
"            35 to 64 years","1,162,230","±4,643","95,881","±5,946","8.2%","±0.5","2,163,610","±4,009","153,540","±6,455","7.1%","±0.3","707,118","±3,701","52,887","±3,772","7.5%","±0.5","269,662","±2,836","17,486","±1,997","6.5%","±0.7","326,543","±2,597","30,523","±2,998","9.3%","±0.9"
"        60 years and over","782,291","±5,516","73,484","±4,383","9.4%","±0.6","1,375,687","±7,126","127,118","±6,221","9.2%","±0.4","455,954","±3,770","43,671","±2,989","9.6%","±0.6","175,267","±2,822","17,548","±1,855","10.0%","±1.1","220,253","±2,851","19,611","±2,188","8.9%","±1.0"
"        65 years and over","568,486","±2,109","53,315","±3,435","9.4%","±0.6","989,834","±2,632","93,960","±4,958","9.5%","±0.5","329,827","±2,039","33,940","±2,536","10.3%","±0.8","126,926","±1,439","13,777","±1,743","10.9%","±1.4","162,040","±1,328","14,283","±1,740","8.8%","±1.1"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","1,549,691","±4,374","157,073","±7,453","10.1%","±0.5","2,810,271","±4,343","234,273","±9,150","8.3%","±0.3","968,814","±3,520","94,867","±6,744","9.8%","±0.7","384,932","±3,584","31,427","±3,481","8.2%","±0.9","451,505","±2,453","48,404","±5,001","10.7%","±1.1"
"        Female","1,558,979","±4,448","194,151","±8,748","12.5%","±0.6","2,807,676","±4,103","286,329","±11,155","10.2%","±0.4","962,647","±3,584","107,211","±7,140","11.1%","±0.7","370,116","±3,339","42,414","±3,248","11.5%","±0.9","439,348","±2,343","56,280","±4,995","12.8%","±1.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","2,622,259","±7,518","259,610","±9,315","9.9%","±0.4","4,313,490","±9,299","322,099","±12,075","7.5%","±0.3","1,501,726","±7,096","130,048","±7,873","8.7%","±0.5","624,039","±3,645","53,716","±3,779","8.6%","±0.6","718,728","±3,799","57,143","±5,117","8.0%","±0.7"
"        Black or African American alone","119,920","±6,110","29,172","±5,776","24.3%","±4.5","399,883","±8,959","90,032","±9,855","22.5%","±2.3","86,032","±5,467","26,154","±4,924","30.4%","±5.3","23,601","±2,632","2,004","±1,608","8.5%","±6.9","22,054","±2,208","6,660","±3,555","30.2%","±15.6"
"        American Indian and Alaska Native alone","12,330","±2,516","2,789","±1,396","22.6%","±10.5","50,069","±3,989","14,652","±1,908","29.3%","±3.9","20,002","±3,122","4,830","±1,205","24.1%","±6.4","32,046","±2,602","8,232","±2,514","25.7%","±7.6","66,244","±2,839","27,731","±3,978","41.9%","±5.7"
"        Asian alone","72,205","±4,194","7,644","±3,558","10.6%","±4.9","292,227","±5,357","24,196","±3,839","8.3%","±1.3","47,232","±3,321","4,374","±1,158","9.3%","±2.5","11,513","±1,225","2,257","±1,000","19.6%","±8.4","13,189","±1,723","1,823","±1,407","13.8%","±10.4"
"        Native Hawaiian and Other Pacific Islander alone","4,345","±1,838","1,663","±975","38.3%","±19.9","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race alone","73,655","±7,349","14,791","±2,704","20.1%","±3.4","158,655","±10,491","22,052","±4,230","13.9%","±2.5","99,870","±8,236","11,114","±2,973","11.1%","±3.0","11,829","±3,017","701","±590","5.9%","±5.1","15,077","±3,006","3,621","±1,430","24.0%","±9.3"
"        Two or more races","203,956","±13,116","35,555","±6,271","17.4%","±2.6","399,946","±13,585","47,241","±5,644","11.8%","±1.3","176,190","±8,817","25,558","±4,858","14.5%","±2.6","50,366","±4,940","6,847","±2,143","13.6%","±4.0","55,262","±5,116","7,685","±2,491","13.9%","±4.3"
"        Hispanic or Latino origin (of any race)","229,519","±1,341","44,788","±5,456","19.5%","±2.4","358,338","±1,572","50,423","±6,275","14.1%","±1.7","250,454","±992","38,895","±6,600","15.5%","±2.6","36,331","±1,251","5,305","±1,816","14.6%","±4.9","44,432","±850","9,517","±2,636","21.4%","±6.0"
"        White alone, not Hispanic or Latino","2,564,239","±4,506","249,029","±9,568","9.7%","±0.4","4,251,862","±7,011","310,921","±11,668","7.3%","±0.3","1,453,380","±3,425","120,738","±7,589","8.3%","±0.5","615,910","±2,666","52,600","±3,929","8.5%","±0.6","709,578","±2,832","55,516","±4,827","7.8%","±0.7"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
