"Label (Grouping)","Iowa!!All families!!Total!!Estimate","Iowa!!All families!!Total!!Margin of Error","Iowa!!All families!!Percent below poverty level!!Estimate","Iowa!!All families!!Percent below poverty level!!Margin of Error","Iowa!!Married-couple families!!Total!!Estimate","Iowa!!Married-couple families!!Total!!Margin of Error","Iowa!!Married-couple families!!Percent below poverty level!!Estimate","Iowa!!Married-couple families!!Percent below poverty level!!Margin of Error","Iowa!!Female householder, no spouse present!!Total!!Estimate","Iowa!!Female householder, no spouse present!!Total!!Margin of Error","Iowa!!Female householder, no spouse present!!Percent below poverty level!!Estimate","Iowa!!Female householder, no spouse present!!Percent below poverty level!!Margin of Error","Minnesota!!All families!!Total!!Estimate","Minnesota!!All families!!Total!!Margin of Error","Minnesota!!All families!!Percent below poverty level!!Estimate","Minnesota!!All families!!Percent below poverty level!!Margin of Error","Minnesota!!Married-couple families!!Total!!Estimate","Minnesota!!Married-couple families!!Total!!Margin of Error","Minnesota!!Married-couple families!!Percent below poverty level!!Estimate","Minnesota!!Married-couple families!!Percent below poverty level!!Margin of Error","Minnesota!!Female householder, no spouse present!!Total!!Estimate","Minnesota!!Female householder, no spouse present!!Total!!Margin of Error","Minnesota!!Female householder, no spouse present!!Percent below poverty level!!Estimate","Minnesota!!Female householder, no spouse present!!Percent below poverty level!!Margin of Error","Nebraska!!All families!!Total!!Estimate","Nebraska!!All families!!Total!!Margin of Error","Nebraska!!All families!!Percent below poverty level!!Estimate","Nebraska!!All families!!Percent below poverty level!!Margin of Error","Nebraska!!Married-couple families!!Total!!Estimate","Nebraska!!Married-couple families!!Total!!Margin of Error","Nebraska!!Married-couple families!!Percent below poverty level!!Estimate","Nebraska!!Married-couple families!!Percent below poverty level!!Margin of Error","Nebraska!!Female householder, no spouse present!!Total!!Estimate","Nebraska!!Female householder, no spouse present!!Total!!Margin of Error","Nebraska!!Female householder, no spouse present!!Percent below poverty level!!Estimate","Nebraska!!Female householder, no spouse present!!Percent below poverty level!!Margin of Error","North Dakota!!All families!!Total!!Estimate","North Dakota!!All families!!Total!!Margin of Error","North Dakota!!All families!!Percent below poverty level!!Estimate","North Dakota!!All families!!Percent below poverty level!!Margin of Error","North Dakota!!Married-couple families!!Total!!Estimate","North Dakota!!Married-couple families!!Total!!Margin of Error","North Dakota!!Married-couple families!!Percent below poverty level!!Estimate","North Dakota!!Married-couple families!!Percent below poverty level!!Margin of Error","North Dakota!!Female householder, no spouse present!!Total!!Estimate","North Dakota!!Female householder, no spouse present!!Total!!Margin of Error","North Dakota!!Female householder, no spouse present!!Percent below poverty level!!Estimate","North Dakota!!Female householder, no spouse present!!Percent below poverty level!!Margin of Error","South Dakota!!All families!!Total!!Estimate","South Dakota!!All families!!Total!!Margin of Error","South Dakota!!All families!!Percent below poverty level!!Estimate","South Dakota!!All families!!Percent below poverty level!!Margin of Error","South Dakota!!Married-couple families!!Total!!Estimate","South Dakota!!Married-couple families!!Total!!Margin of Error","South Dakota!!Married-couple families!!Percent below poverty level!!Estimate","South Dakota!!Married-couple families!!Percent below poverty level!!Margin of Error","South Dakota!!Female householder, no spouse present!!Total!!Estimate","South Dakota!!Female householder, no spouse present!!Total!!Margin of Error","South Dakota!!Female householder, no spouse present!!Percent below poverty level!!Estimate","South Dakota!!Female householder, no spouse present!!Percent below poverty level!!Margin of Error"
"Families","819,792","±8,707","6.9%","±0.4","644,904","±9,283","3.5%","±0.4","118,623","±5,601","23.0%","±1.9","1,447,372","±12,060","5.4%","±0.3","1,140,240","±11,425","2.8%","±0.2","200,104","±7,403","19.2%","±1.2","507,500","±5,889","6.6%","±0.6","398,895","±6,160","3.4%","±0.5","76,023","±3,913","21.4%","±2.6","191,997","±5,284","5.3%","±0.7","155,411","±5,314","2.7%","±0.5","21,869","±2,563","18.7%","±3.8","231,690","±4,860","7.6%","±1.1","182,163","±4,996","3.7%","±0.8","30,833","±3,180","27.1%","±4.9"
"    With related children of householder under 18 years","369,751","±6,857","11.2%","±0.9","255,030","±6,546","4.3%","±0.8","78,853","±4,541","31.3%","±2.8","641,509","±9,202","8.5%","±0.5","452,485","±7,847","3.2%","±0.4","127,557","±5,859","26.1%","±2.0","236,086","±4,707","9.8%","±1.2","165,853","±5,103","3.9%","±0.8","51,625","±3,447","27.4%","±3.6","90,566","±3,681","7.5%","±1.4","64,704","±3,794","2.4%","±0.8","16,011","±2,122","23.4%","±4.9","108,779","±3,843","12.7%","±2.3","73,826","±4,299","5.4%","±1.7","21,654","±2,676","34.9%","±6.4"
"        With related children of householder under 5 years","63,537","±3,743","10.4%","±2.2","47,010","±2,951","3.3%","±1.4","10,469","±1,822","37.7%","±9.0","114,007","±5,233","7.3%","±1.4","83,480","±3,861","1.7%","±0.7","19,059","±2,535","30.6%","±6.8","38,187","±3,073","11.0%","±2.9","28,887","±3,039","3.8%","±2.4","6,045","±1,201","41.6%","±9.9","18,375","±2,208","7.7%","±3.3","13,525","±1,753","3.8%","±2.2","2,585","±825","28.9%","±16.7","18,859","±2,262","8.8%","±3.3","12,968","±1,869","3.9%","±2.3","3,995","±1,153","23.6%","±11.6"
"        With related children of householder under 5 years and 5 to 17 years","70,682","±4,214","18.5%","±2.6","52,185","±3,032","8.1%","±1.7","13,814","±2,369","56.6%","±7.0","119,220","±5,885","13.6%","±1.9","88,746","±5,015","6.4%","±1.5","22,152","±3,010","43.4%","±6.8","46,989","±3,333","13.4%","±3.0","35,497","±2,735","4.9%","±1.8","9,096","±1,664","44.9%","±10.1","16,709","±2,186","8.2%","±3.2","13,565","±1,892","2.1%","±1.2","2,255","±897","35.9%","±20.6","21,675","±2,575","19.7%","±5.3","15,414","±2,213","9.0%","±4.3","3,816","±1,003","59.0%","±14.2"
"        With related children of householder 5 to 17  years","235,532","±6,718","9.2%","±1.2","155,835","±5,418","3.3%","±1.0","54,570","±3,860","23.7%","±3.4","408,282","±6,736","7.3%","±0.7","280,259","±6,541","2.7%","±0.4","86,346","±5,164","20.6%","±2.3","150,910","±3,993","8.4%","±1.3","101,469","±4,078","3.5%","±0.9","36,484","±2,872","20.6%","±4.1","55,482","±3,169","7.3%","±2.2","37,614","±2,953","2.0%","±1.0","11,171","±1,923","19.6%","±5.8","68,245","±3,266","11.5%","±2.5","45,444","±3,357","4.7%","±1.9","13,843","±2,081","31.6%","±7.6"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Families with a householder who is--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            White alone","713,829","±8,197","5.6%","±0.4","578,295","±8,538","3.0%","±0.3","89,245","±4,638","20.2%","±1.9","1,182,418","±10,253","3.9%","±0.3","971,615","±10,394","2.2%","±0.2","135,026","±5,347","15.1%","±1.5","415,156","±5,223","4.7%","±0.5","343,069","±5,362","2.4%","±0.3","50,330","±3,380","18.3%","±2.6","164,017","±4,268","3.6%","±0.6","137,994","±4,453","2.3%","±0.5","14,931","±1,930","14.1%","±4.0","196,695","±4,026","4.7%","±0.8","162,648","±4,697","2.6%","±0.5","20,678","±2,594","19.0%","±4.8"
"            Black or African American alone","25,434","±2,715","22.6%","±5.9","11,718","±2,095","17.5%","±8.3","11,348","±1,811","28.0%","±7.7","78,252","±4,330","18.5%","±3.0","41,919","±3,422","8.6%","±2.3","28,378","±3,476","35.7%","±6.3","20,304","±2,173","25.1%","±6.5","8,949","±1,498","12.5%","±7.2","9,090","±1,755","34.0%","±12.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","12,695","±1,619","20.6%","±4.8","5,185","±1,109","8.4%","±4.9","5,057","±832","31.0%","±7.3","3,711","±742","22.3%","±8.2","1,655","±533","13.4%","±8.9","1,612","±503","36.0%","±15.4","8,552","±1,420","30.6%","±13.0","3,733","±1,177","8.6%","±6.8","2,342","±619","37.7%","±16.5","13,071","±1,303","36.6%","±7.2","4,708","±1,040","32.0%","±12.0","5,346","±974","42.9%","±12.1"
