"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Less than 50 percent of the poverty level!!Estimate","Iowa!!Less than 50 percent of the poverty level!!Margin of Error","Iowa!!Less than 100 percent of the poverty level!!Estimate","Iowa!!Less than 100 percent of the poverty level!!Margin of Error","Iowa!!Less than 125 percent of the poverty level!!Estimate","Iowa!!Less than 125 percent of the poverty level!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Less than 50 percent of the poverty level!!Estimate","Minnesota!!Less than 50 percent of the poverty level!!Margin of Error","Minnesota!!Less than 100 percent of the poverty level!!Estimate","Minnesota!!Less than 100 percent of the poverty level!!Margin of Error","Minnesota!!Less than 125 percent of the poverty level!!Estimate","Minnesota!!Less than 125 percent of the poverty level!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Less than 50 percent of the poverty level!!Estimate","Nebraska!!Less than 50 percent of the poverty level!!Margin of Error","Nebraska!!Less than 100 percent of the poverty level!!Estimate","Nebraska!!Less than 100 percent of the poverty level!!Margin of Error","Nebraska!!Less than 125 percent of the poverty level!!Estimate","Nebraska!!Less than 125 percent of the poverty level!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Less than 50 percent of the poverty level!!Estimate","North Dakota!!Less than 50 percent of the poverty level!!Margin of Error","North Dakota!!Less than 100 percent of the poverty level!!Estimate","North Dakota!!Less than 100 percent of the poverty level!!Margin of Error","North Dakota!!Less than 125 percent of the poverty level!!Estimate","North Dakota!!Less than 125 percent of the poverty level!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Less than 50 percent of the poverty level!!Estimate","South Dakota!!Less than 50 percent of the poverty level!!Margin of Error","South Dakota!!Less than 100 percent of the poverty level!!Estimate","South Dakota!!Less than 100 percent of the poverty level!!Margin of Error","South Dakota!!Less than 125 percent of the poverty level!!Estimate","South Dakota!!Less than 125 percent of the poverty level!!Margin of Error"
"Population for whom poverty status is determined","3,108,670","±2,176","4.8%","±0.3","11.3%","±0.5","14.6%","±0.6","5,617,947","±2,228","4.3%","±0.2","9.3%","±0.3","12.2%","±0.4","1,931,461","±1,141","4.8%","±0.4","10.5%","±0.7","13.8%","±0.6","755,048","±1,286","4.5%","±0.5","9.8%","±0.7","12.4%","±0.9","890,853","±963","5.1%","±0.6","11.8%","±1.0","15.6%","±0.9"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","1,549,691","±4,374","4.3%","±0.3","10.1%","±0.5","13.1%","±0.6","2,810,271","±4,343","3.8%","±0.2","8.3%","±0.3","11.0%","±0.4","968,814","±3,520","4.4%","±0.4","9.8%","±0.7","12.9%","±0.7","384,932","±3,584","3.8%","±0.7","8.2%","±0.9","10.6%","±1.0","451,505","±2,453","4.5%","±0.6","10.7%","±1.1","14.0%","±1.1"
"        Female","1,558,979","±4,448","5.4%","±0.3","12.5%","±0.6","16.2%","±0.7","2,807,676","±4,103","4.7%","±0.3","10.2%","±0.4","13.4%","±0.5","962,647","±3,584","5.2%","±0.5","11.1%","±0.7","14.6%","±0.7","370,116","±3,339","5.1%","±0.6","11.5%","±0.9","14.3%","±1.2","439,348","±2,343","5.6%","±0.7","12.8%","±1.1","17.2%","±1.1"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","714,650","±3,060","5.4%","±0.7","13.6%","±1.1","17.6%","±1.2","1,278,430","±2,950","4.6%","±0.5","10.1%","±0.7","14.5%","±0.9","472,510","±1,982","5.1%","±0.8","11.1%","±1.3","15.7%","±1.3","175,843","±2,728","4.4%","±1.0","8.7%","±1.7","12.3%","±2.1","215,575","±1,814","6.5%","±1.4","14.6%","±2.2","19.5%","±2.1"
"            Related children of householder under 18 years","710,555","±3,284","5.0%","±0.7","13.1%","±1.1","17.1%","±1.1","1,274,543","±3,142","4.3%","±0.5","9.9%","±0.7","14.2%","±0.9","469,894","±2,158","4.6%","±0.8","10.7%","±1.3","15.3%","±1.4","174,913","±2,751","3.9%","±0.9","8.3%","±1.7","11.9%","±2.1","214,592","±1,872","6.2%","±1.3","14.3%","±2.2","19.3%","±2.1"
"        18 to 64 years","1,825,534","±3,014","5.1%","±0.3","11.0%","±0.5","14.0%","±0.6","3,349,683","±3,341","4.3%","±0.2","8.9%","±0.3","11.1%","±0.4","1,129,124","±2,098","4.9%","±0.4","10.2%","±0.7","12.9%","±0.7","452,279","±2,451","4.7%","±0.6","9.9%","±0.8","11.9%","±0.9","513,238","±2,016","5.2%","±0.6","11.5%","±0.9","14.5%","±0.9"
"        65 years and over","568,486","±2,109","3.2%","±0.4","9.4%","±0.6","12.9%","±0.8","989,834","±2,632","3.8%","±0.3","9.5%","±0.5","12.8%","±0.6","329,827","±2,039","4.2%","±0.5","10.3%","±0.8","14.2%","±1.0","126,926","±1,439","3.6%","±0.7","10.9%","±1.4","14.2%","±1.6","162,040","±1,328","2.6%","±0.6","8.8%","±1.1","13.7%","±1.4"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","2,904,714","±13,370","4.7%","±0.3","10.9%","±0.4","14.1%","±0.5","5,218,001","±13,688","4.2%","±0.2","9.1%","±0.3","11.9%","±0.4","1,755,271","±8,819","4.7%","±0.4","10.1%","±0.6","13.2%","±0.7","704,682","±4,871","4.3%","±0.5","9.5%","±0.7","12.0%","±0.9","835,591","±5,238","5.1%","±0.6","11.6%","±0.9","15.4%","±0.9"
"            White","2,622,259","±7,518","4.4%","±0.3","9.9%","±0.4","12.6%","±0.5","4,313,490","±9,299","3.4%","±0.2","7.5%","±0.3","9.8%","±0.3","1,501,726","±7,096","3.9%","±0.4","8.7%","±0.5","11.5%","±0.6","624,039","±3,645","3.8%","±0.5","8.6%","±0.6","10.8%","±0.8","718,728","±3,799","3.2%","±0.5","8.0%","±0.7","11.5%","±0.8"
"            Black or African American","119,920","±6,110","9.0%","±2.8","24.3%","±4.5","31.7%","±4.9","399,883","±8,959","10.8%","±2.0","22.5%","±2.3","29.5%","±3.2","86,032","±5,467","15.6%","±3.7","30.4%","±5.3","34.2%","±5.4","23,601","±2,632","1.2%","±1.2","8.5%","±6.9","11.9%","±7.0","22,054","±2,208","11.0%","±7.3","30.2%","±15.6","32.8%","±15.9"
"            American Indian and Alaska Native","12,330","±2,516","10.5%","±5.9","22.6%","±10.5","26.8%","±10.7","50,069","±3,989","15.0%","±3.3","29.3%","±3.9","34.1%","±4.1","20,002","±3,122","9.0%","±4.1","24.1%","±6.4","27.2%","±6.6","32,046","±2,602","12.9%","±6.6","25.7%","±7.6","30.2%","±7.5","66,244","±2,839","19.5%","±4.7","41.9%","±5.7","49.1%","±6.0"
