"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!With a disability!!Estimate","Iowa!!With a disability!!Margin of Error","Iowa!!Percent with a disability!!Estimate","Iowa!!Percent with a disability!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!With a disability!!Estimate","Minnesota!!With a disability!!Margin of Error","Minnesota!!Percent with a disability!!Estimate","Minnesota!!Percent with a disability!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!With a disability!!Estimate","Nebraska!!With a disability!!Margin of Error","Nebraska!!Percent with a disability!!Estimate","Nebraska!!Percent with a disability!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!With a disability!!Estimate","North Dakota!!With a disability!!Margin of Error","North Dakota!!Percent with a disability!!Estimate","North Dakota!!Percent with a disability!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!With a disability!!Estimate","South Dakota!!With a disability!!Margin of Error","South Dakota!!Percent with a disability!!Estimate","South Dakota!!Percent with a disability!!Margin of Error"
"Total civilian noninstitutionalized population","3,162,048","±666","418,159","±10,256","13.2%","±0.3","5,678,023","±1,087","667,664","±14,587","11.8%","±0.3","1,951,731","±1,292","247,346","±8,337","12.7%","±0.4","763,538","±2,047","95,182","±5,522","12.5%","±0.7","900,264","±847","115,743","±4,649","12.9%","±0.5"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","1,578,133","±4,333","208,654","±6,354","13.2%","±0.4","2,838,552","±4,113","338,019","±9,741","11.9%","±0.3","975,429","±3,425","121,441","±5,301","12.5%","±0.5","386,390","±3,629","47,534","±3,707","12.3%","±1.0","455,555","±2,416","61,402","±3,801","13.5%","±0.8"
"        Female","1,583,915","±4,247","209,505","±6,731","13.2%","±0.4","2,839,471","±3,897","329,645","±9,133","11.6%","±0.3","976,302","±3,335","125,905","±5,583","12.9%","±0.6","377,148","±3,037","47,648","±3,718","12.6%","±1.0","444,709","±2,268","54,341","±3,536","12.2%","±0.8"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","2,663,195","±7,448","362,871","±9,837","13.6%","±0.4","4,352,641","±9,138","537,118","±12,605","12.3%","±0.3","1,517,627","±7,256","195,532","±6,973","12.9%","±0.5","631,872","±3,453","78,868","±4,962","12.5%","±0.8","725,956","±3,986","95,078","±4,259","13.1%","±0.6"
"        Black or African American alone","124,660","±6,348","15,904","±2,313","12.8%","±1.8","404,574","±9,109","42,181","±3,555","10.4%","±0.9","86,536","±5,417","14,494","±2,372","16.7%","±2.7","22,917","±2,593","1,380","±981","6.0%","±3.9","22,180","±2,213","1,092","±497","4.9%","±2.3"
"        American Indian and Alaska Native alone","12,411","±2,521","2,104","±790","17.0%","±6.0","51,706","±4,074","9,772","±1,149","18.9%","±2.2","20,504","±3,206","2,158","±679","10.5%","±3.2","33,542","±2,554","4,788","±811","14.3%","±2.5","67,434","±2,915","11,506","±1,877","17.1%","±2.8"
"        Asian alone","75,549","±3,859","4,474","±1,027","5.9%","±1.3","297,270","±5,605","20,326","±2,278","6.8%","±0.8","48,470","±3,329","4,066","±1,208","8.4%","±2.5","11,537","±1,304","1,074","±646","9.3%","±5.5","13,825","±1,644","1,050","±630","7.6%","±4.3"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race alone","74,793","±7,349","5,976","±1,191","8.0%","±1.7","161,029","±10,620","13,226","±2,422","8.2%","±1.5","101,240","±8,245","9,747","±1,747","9.6%","±1.6","11,102","±2,774","1,280","±646","11.5%","±5.4","14,904","±2,885","1,614","±630","10.8%","±4.1"
"        Two or more races","207,022","±13,010","26,435","±2,593","12.8%","±1.1","407,126","±13,567","44,605","±4,032","11.0%","±1.0","176,928","±8,857","21,231","±2,560","12.0%","±1.4","50,904","±5,158","7,484","±1,580","14.7%","±2.9","55,708","±5,179","5,375","±1,365","9.6%","±2.3"
"        White alone, not Hispanic or Latino","2,604,235","±3,844","356,735","±9,861","13.7%","±0.4","4,290,126","±6,722","531,714","±12,510","12.4%","±0.3","1,468,793","±3,309","189,793","±6,923","12.9%","±0.5","624,408","±2,621","77,581","±4,796","12.4%","±0.8","716,781","±2,904","94,359","±4,285","13.2%","±0.6"
"        Hispanic or Latino (of any race)","232,663","±1,192","22,649","±2,621","9.7%","±1.1","364,148","±1,099","31,331","±3,121","8.6%","±0.9","252,699","±732","25,848","±2,474","10.2%","±1.0","34,649","±1,400","4,265","±1,188","12.3%","±3.3","45,187","±559","4,039","±1,033","8.9%","±2.3"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","182,063","±2,132","1,304","±827","0.7%","±0.5","326,995","±2,524","2,718","±768","0.8%","±0.2","120,499","±1,892","121","±105","0.1%","±0.1","46,488","±1,848","201","±148","0.4%","±0.3","54,886","±1,016","156","±152","0.3%","±0.3"
"        5 to 17 years","542,556","±3,244","33,951","±3,176","6.3%","±0.6","966,469","±2,774","53,760","±4,198","5.6%","±0.4","357,470","±2,389","17,404","±2,910","4.9%","±0.8","133,088","±2,363","7,571","±1,498","5.7%","±1.1","163,527","±1,555","9,136","±1,622","5.6%","±1.0"
"        18 to 34 years","707,370","±4,026","65,217","±4,125","9.2%","±0.6","1,232,285","±3,849","110,200","±6,051","8.9%","±0.5","438,445","±3,384","44,922","±4,380","10.2%","±1.0","190,267","±2,997","16,351","±2,437","8.6%","±1.3","193,893","±2,682","17,793","±2,104","9.2%","±1.1"
"        35 to 64 years","1,161,573","±4,609","148,966","±5,953","12.8%","±0.5","2,162,440","±4,064","224,933","±6,801","10.4%","±0.3","705,490","±3,837","84,560","±4,976","12.0%","±0.7","266,769","±3,134","32,324","±2,817","12.1%","±1.1","325,918","±2,653","39,445","±2,960","12.1%","±0.9"
"        65 to 74 years","340,124","±2,040","73,841","±3,681","21.7%","±1.1","600,577","±2,575","111,894","±4,155","18.6%","±0.7","198,999","±1,841","44,215","±3,187","22.2%","±1.6","76,162","±1,044","17,352","±1,475","22.8%","±1.9","102,669","±1,195","21,646","±1,688","21.1%","±1.6"
"        75 years and over","228,362","±1,658","94,880","±3,292","41.5%","±1.4","389,257","±2,157","164,159","±4,578","42.2%","±1.1","130,828","±1,468","56,124","±2,870","42.9%","±2.2","50,764","±1,092","21,383","±1,566","42.1%","±3.1","59,371","±1,102","27,567","±1,617","46.4%","±2.9"
"    DISABILITY TYPE BY DETAILED AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With a hearing difficulty","(X)","(X)","118,645","±4,607","3.8%","±0.1","(X)","(X)","203,545","±7,169","3.6%","±0.1","(X)","(X)","72,931","±3,395","3.7%","±0.2","(X)","(X)","30,511","±3,126","4.0%","±0.4","(X)","(X)","35,661","±2,466","4.0%","±0.3"
"            Population under 18 years","724,619","±2,500","5,191","±1,533","0.7%","±0.2","1,293,464","±2,048","7,509","±1,335","0.6%","±0.1","477,969","±1,516","1,322","±466","0.3%","±0.1","179,576","±2,370","686","±461","0.4%","±0.3","218,413","±1,609","1,648","±705","0.8%","±0.3"
"                Population under 5 years","182,063","±2,132","1,109","±790","0.6%","±0.4","326,995","±2,524","2,187","±721","0.7%","±0.2","120,499","±1,892","36","±69","0.0%","±0.1","46,488","±1,848","7","±12","0.0%","±0.1","54,886","±1,016","156","±152","0.3%","±0.3"
"                Population 5 to 17 years","542,556","±3,244","4,082","±1,202","0.8%","±0.2","966,469","±2,774","5,322","±1,175","0.6%","±0.1","357,470","±2,389","1,286","±458","0.4%","±0.1","133,088","±2,363","679","±462","0.5%","±0.3","163,527","±1,555","1,492","±671","0.9%","±0.4"
"            Population 18 to 64 years","1,868,943","±3,104","40,906","±3,093","2.2%","±0.2","3,394,725","±3,643","63,767","±4,276","1.9%","±0.1","1,143,935","±2,642","25,238","±2,109","2.2%","±0.2","457,036","±2,917","11,967","±2,080","2.6%","±0.5","519,811","±2,166","11,275","±1,617","2.2%","±0.3"
