"Label (Grouping)","Iowa!!Households!!Estimate","Iowa!!Households!!Margin of Error","Iowa!!Families!!Estimate","Iowa!!Families!!Margin of Error","Iowa!!Married-couple families!!Estimate","Iowa!!Married-couple families!!Margin of Error","Iowa!!Nonfamily households!!Estimate","Iowa!!Nonfamily households!!Margin of Error","Minnesota!!Households!!Estimate","Minnesota!!Households!!Margin of Error","Minnesota!!Families!!Estimate","Minnesota!!Families!!Margin of Error","Minnesota!!Married-couple families!!Estimate","Minnesota!!Married-couple families!!Margin of Error","Minnesota!!Nonfamily households!!Estimate","Minnesota!!Nonfamily households!!Margin of Error","Nebraska!!Households!!Estimate","Nebraska!!Households!!Margin of Error","Nebraska!!Families!!Estimate","Nebraska!!Families!!Margin of Error","Nebraska!!Married-couple families!!Estimate","Nebraska!!Married-couple families!!Margin of Error","Nebraska!!Nonfamily households!!Estimate","Nebraska!!Nonfamily households!!Margin of Error","North Dakota!!Households!!Estimate","North Dakota!!Households!!Margin of Error","North Dakota!!Families!!Estimate","North Dakota!!Families!!Margin of Error","North Dakota!!Married-couple families!!Estimate","North Dakota!!Married-couple families!!Margin of Error","North Dakota!!Nonfamily households!!Estimate","North Dakota!!Nonfamily households!!Margin of Error","South Dakota!!Households!!Estimate","South Dakota!!Households!!Margin of Error","South Dakota!!Families!!Estimate","South Dakota!!Families!!Margin of Error","South Dakota!!Married-couple families!!Estimate","South Dakota!!Married-couple families!!Margin of Error","South Dakota!!Nonfamily households!!Estimate","South Dakota!!Nonfamily households!!Margin of Error"
"Total","1,337,243","±6,646","819,792","±8,707","644,904","±9,283","517,451","±9,011","2,344,432","±8,041","1,447,372","±12,060","1,140,240","±11,425","897,060","±11,988","813,864","±4,244","507,500","±5,889","398,895","±6,160","306,364","±6,286","338,059","±3,608","191,997","±5,284","155,411","±5,314","146,062","±5,340","378,559","±3,320","231,690","±4,860","182,163","±4,996","146,869","±4,792"
"    Less than $10,000","4.2%","±0.3","2.1%","±0.2","0.8%","±0.2","8.3%","±0.7","3.8%","±0.2","1.8%","±0.1","0.8%","±0.1","7.7%","±0.5","4.5%","±0.4","2.4%","±0.4","1.1%","±0.3","8.7%","±0.9","4.6%","±0.6","2.2%","±0.7","0.9%","±0.3","8.1%","±1.2","4.3%","±0.5","2.3%","±0.5","0.7%","±0.3","7.7%","±1.2"
"    $10,000 to $14,999","3.3%","±0.2","1.2%","±0.2","0.7%","±0.1","6.8%","±0.5","2.9%","±0.2","1.2%","±0.1","0.6%","±0.1","6.0%","±0.3","3.2%","±0.3","1.2%","±0.2","0.5%","±0.1","6.9%","±0.6","3.3%","±0.4","0.9%","±0.3","0.6%","±0.3","6.5%","±1.0","3.5%","±0.4","1.4%","±0.4","0.8%","±0.3","7.0%","±0.8"
"    $15,000 to $24,999","6.8%","±0.4","3.5%","±0.4","2.0%","±0.3","12.4%","±0.8","5.5%","±0.3","2.6%","±0.2","1.4%","±0.1","10.4%","±0.6","6.5%","±0.5","3.0%","±0.4","2.0%","±0.4","12.5%","±0.9","6.7%","±0.7","2.5%","±0.7","1.3%","±0.4","12.5%","±1.6","7.1%","±0.7","4.0%","±0.6","2.5%","±0.6","13.2%","±1.6"
"    $25,000 to $34,999","8.0%","±0.4","4.9%","±0.4","3.3%","±0.3","13.2%","±0.7","5.8%","±0.3","3.4%","±0.2","2.2%","±0.2","9.9%","±0.6","6.7%","±0.4","4.6%","±0.5","2.7%","±0.4","11.4%","±0.9","7.2%","±0.8","4.5%","±0.8","2.5%","±0.6","11.7%","±1.7","7.5%","±0.8","4.2%","±0.7","2.9%","±0.5","13.1%","±1.5"
"    $35,000 to $49,999","12.2%","±0.5","9.2%","±0.5","7.0%","±0.4","17.9%","±0.9","9.7%","±0.3","7.1%","±0.4","5.1%","±0.3","15.0%","±0.6","11.2%","±0.6","7.9%","±0.6","5.7%","±0.5","17.3%","±1.3","10.5%","±1.0","7.8%","±1.0","6.2%","±0.9","14.9%","±1.8","11.8%","±0.9","8.9%","±1.2","6.3%","±0.9","16.8%","±1.6"
"    $50,000 to $74,999","17.8%","±0.5","17.3%","±0.6","15.4%","±0.6","18.8%","±0.9","16.2%","±0.4","14.4%","±0.5","12.4%","±0.4","20.0%","±0.7","18.2%","±0.7","16.7%","±0.8","15.1%","±0.8","20.9%","±1.2","16.6%","±1.1","13.3%","±1.3","12.3%","±1.3","20.9%","±2.0","18.0%","±1.0","17.0%","±1.3","15.4%","±1.4","20.0%","±1.8"
"    $75,000 to $99,999","14.1%","±0.5","16.2%","±0.6","16.8%","±0.7","10.0%","±0.6","14.0%","±0.3","14.9%","±0.4","14.7%","±0.4","12.1%","±0.7","14.0%","±0.6","16.4%","±0.7","17.4%","±0.8","9.1%","±0.8","14.0%","±1.0","16.4%","±1.4","17.0%","±1.6","10.8%","±1.3","13.8%","±0.9","15.6%","±1.3","16.4%","±1.4","10.2%","±1.2"
"    $100,000 to $149,999","17.8%","±0.5","23.0%","±0.7","26.7%","±0.7","8.2%","±0.6","19.4%","±0.4","23.4%","±0.6","25.6%","±0.6","11.4%","±0.6","18.3%","±0.6","23.2%","±0.9","26.5%","±1.1","9.1%","±0.9","19.2%","±1.1","25.7%","±1.5","27.7%","±1.5","9.7%","±1.5","18.6%","±1.0","24.8%","±1.5","29.0%","±1.7","7.7%","±1.1"
"    $150,000 to $199,999","8.3%","±0.3","11.8%","±0.5","14.1%","±0.6","2.3%","±0.3","10.4%","±0.3","13.9%","±0.4","16.2%","±0.5","3.9%","±0.4","8.3%","±0.4","11.4%","±0.6","13.3%","±0.8","2.2%","±0.4","8.8%","±0.8","13.0%","±1.4","15.3%","±1.7","2.5%","±0.7","7.6%","±0.6","10.5%","±1.0","12.9%","±1.2","2.3%","±0.6"
