"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Labor Force Participation Rate!!Estimate","Iowa!!Labor Force Participation Rate!!Margin of Error","Iowa!!Employment/Population Ratio!!Estimate","Iowa!!Employment/Population Ratio!!Margin of Error","Iowa!!Unemployment rate!!Estimate","Iowa!!Unemployment rate!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Labor Force Participation Rate!!Estimate","Minnesota!!Labor Force Participation Rate!!Margin of Error","Minnesota!!Employment/Population Ratio!!Estimate","Minnesota!!Employment/Population Ratio!!Margin of Error","Minnesota!!Unemployment rate!!Estimate","Minnesota!!Unemployment rate!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Labor Force Participation Rate!!Estimate","Nebraska!!Labor Force Participation Rate!!Margin of Error","Nebraska!!Employment/Population Ratio!!Estimate","Nebraska!!Employment/Population Ratio!!Margin of Error","Nebraska!!Unemployment rate!!Estimate","Nebraska!!Unemployment rate!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Labor Force Participation Rate!!Estimate","North Dakota!!Labor Force Participation Rate!!Margin of Error","North Dakota!!Employment/Population Ratio!!Estimate","North Dakota!!Employment/Population Ratio!!Margin of Error","North Dakota!!Unemployment rate!!Estimate","North Dakota!!Unemployment rate!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Labor Force Participation Rate!!Estimate","South Dakota!!Labor Force Participation Rate!!Margin of Error","South Dakota!!Employment/Population Ratio!!Estimate","South Dakota!!Employment/Population Ratio!!Margin of Error","South Dakota!!Unemployment rate!!Estimate","South Dakota!!Unemployment rate!!Margin of Error"
"Population 16 years and over","2,570,587","±3,415","66.3%","±0.4","64.4%","±0.5","2.8%","±0.2","4,602,443","±3,997","68.4%","±0.3","66.2%","±0.3","3.0%","±0.2","1,558,006","±2,929","69.0%","±0.5","66.8%","±0.5","2.7%","±0.3","622,500","±2,487","69.4%","±0.9","65.9%","±0.9","2.9%","±0.6","725,788","±1,925","67.3%","±0.8","65.1%","±0.8","2.6%","±0.4"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        16 to 19 years","181,686","±4,308","54.2%","±2.0","49.6%","±1.9","8.5%","±1.2","312,030","±5,322","53.3%","±1.4","48.4%","±1.5","9.1%","±1.2","110,161","±3,035","53.5%","±2.3","47.6%","±2.2","10.6%","±2.0","43,229","±2,694","56.2%","±4.2","49.9%","±4.2","10.4%","±3.2","52,364","±2,541","53.8%","±3.5","48.1%","±3.3","10.6%","±3.2"
"        20 to 24 years","222,476","±4,164","80.3%","±1.7","76.5%","±1.8","4.6%","±0.9","348,838","±3,819","84.8%","±1.0","80.8%","±1.1","4.6%","±0.6","140,599","±2,796","83.2%","±1.7","78.9%","±2.0","4.6%","±1.3","59,265","±3,128","83.0%","±2.9","75.0%","±3.4","2.8%","±1.6","57,907","±2,480","83.2%","±3.1","77.3%","±3.3","4.5%","±1.7"
"        25 to 29 years","197,296","±3,382","88.1%","±1.3","85.4%","±1.4","2.8%","±0.7","359,264","±3,269","90.2%","±0.8","86.6%","±0.9","3.9%","±0.6","125,649","±2,115","88.5%","±1.2","84.6%","±1.6","3.0%","±1.2","59,807","±2,835","89.2%","±2.7","83.9%","±3.2","2.8%","±1.5","56,897","±2,164","88.8%","±2.0","84.9%","±2.4","3.1%","±1.3"
"        30 to 34 years","201,330","±4,019","88.7%","±1.1","86.2%","±1.1","2.8%","±0.7","380,411","±2,913","88.4%","±0.8","85.8%","±0.8","2.8%","±0.4","128,558","±2,730","89.0%","±1.4","85.8%","±1.6","2.4%","±0.9","55,024","±2,286","87.8%","±2.0","82.7%","±2.7","2.1%","±1.0","58,090","±2,328","85.0%","±2.1","82.0%","±2.3","2.1%","±1.2"
"        35 to 44 years","410,413","±4,437","87.4%","±0.8","85.4%","±0.9","2.1%","±0.4","784,774","±3,522","89.0%","±0.5","86.7%","±0.5","2.4%","±0.3","262,121","±2,805","87.5%","±0.9","85.6%","±0.9","1.5%","±0.5","106,705","±3,157","91.7%","±1.5","87.4%","±1.8","2.1%","±0.8","118,255","±2,340","87.9%","±1.8","85.6%","±1.9","2.2%","±1.0"
"        45 to 54 years","364,366","±3,398","87.7%","±0.8","85.6%","±0.9","2.2%","±0.4","665,862","±3,843","88.4%","±0.6","86.5%","±0.7","2.1%","±0.3","220,460","±2,954","86.9%","±1.3","85.2%","±1.5","1.8%","±0.6","76,863","±2,214","89.8%","±1.5","87.1%","±1.9","2.7%","±1.7","98,654","±2,343","86.0%","±1.8","84.7%","±1.8","1.4%","±0.6"
"        55 to 59 years","182,323","±5,310","79.9%","±1.3","78.4%","±1.5","1.9%","±0.7","338,498","±7,278","82.6%","±0.9","80.8%","±0.9","2.2%","±0.4","102,776","±3,352","82.6%","±1.7","81.3%","±1.8","1.7%","±0.7","39,245","±2,630","80.0%","±3.2","77.4%","±3.2","2.9%","±2.1","55,157","±2,382","76.9%","±2.8","75.8%","±2.8","1.4%","±0.9"
"        60 to 64 years","215,809","±5,326","64.0%","±1.5","63.2%","±1.5","1.3%","±0.4","386,838","±6,969","65.8%","±1.2","64.5%","±1.3","2.0%","±0.4","126,757","±3,834","71.3%","±1.8","70.3%","±1.8","1.4%","±0.6","48,407","±2,574","68.6%","±2.8","68.0%","±2.8","0.8%","±0.6","58,878","±2,497","66.9%","±3.2","66.2%","±3.4","1.0%","±0.8"
"        65 to 74 years","345,223","±2,001","27.5%","±1.0","27.1%","±1.0","1.5%","±0.4","606,461","±2,361","28.7%","±0.9","28.0%","±0.9","2.5%","±0.6","201,646","±1,715","31.9%","±1.4","31.4%","±1.4","1.6%","±0.7","77,639","±1,015","29.2%","±2.7","28.2%","±2.6","3.3%","±1.8","103,558","±1,202","34.0%","±2.2","33.4%","±2.2","1.6%","±0.8"
