"Label (Grouping)","Iowa!!Occupied housing units!!Estimate","Iowa!!Occupied housing units!!Margin of Error","Iowa!!Percent occupied housing units!!Estimate","Iowa!!Percent occupied housing units!!Margin of Error","Iowa!!Owner-occupied housing units!!Estimate","Iowa!!Owner-occupied housing units!!Margin of Error","Iowa!!Percent owner-occupied housing units!!Estimate","Iowa!!Percent owner-occupied housing units!!Margin of Error","Iowa!!Renter-occupied housing units!!Estimate","Iowa!!Renter-occupied housing units!!Margin of Error","Iowa!!Percent renter-occupied housing units!!Estimate","Iowa!!Percent renter-occupied housing units!!Margin of Error","Minnesota!!Occupied housing units!!Estimate","Minnesota!!Occupied housing units!!Margin of Error","Minnesota!!Percent occupied housing units!!Estimate","Minnesota!!Percent occupied housing units!!Margin of Error","Minnesota!!Owner-occupied housing units!!Estimate","Minnesota!!Owner-occupied housing units!!Margin of Error","Minnesota!!Percent owner-occupied housing units!!Estimate","Minnesota!!Percent owner-occupied housing units!!Margin of Error","Minnesota!!Renter-occupied housing units!!Estimate","Minnesota!!Renter-occupied housing units!!Margin of Error","Minnesota!!Percent renter-occupied housing units!!Estimate","Minnesota!!Percent renter-occupied housing units!!Margin of Error","Nebraska!!Occupied housing units!!Estimate","Nebraska!!Occupied housing units!!Margin of Error","Nebraska!!Percent occupied housing units!!Estimate","Nebraska!!Percent occupied housing units!!Margin of Error","Nebraska!!Owner-occupied housing units!!Estimate","Nebraska!!Owner-occupied housing units!!Margin of Error","Nebraska!!Percent owner-occupied housing units!!Estimate","Nebraska!!Percent owner-occupied housing units!!Margin of Error","Nebraska!!Renter-occupied housing units!!Estimate","Nebraska!!Renter-occupied housing units!!Margin of Error","Nebraska!!Percent renter-occupied housing units!!Estimate","Nebraska!!Percent renter-occupied housing units!!Margin of Error","North Dakota!!Occupied housing units!!Estimate","North Dakota!!Occupied housing units!!Margin of Error","North Dakota!!Percent occupied housing units!!Estimate","North Dakota!!Percent occupied housing units!!Margin of Error","North Dakota!!Owner-occupied housing units!!Estimate","North Dakota!!Owner-occupied housing units!!Margin of Error","North Dakota!!Percent owner-occupied housing units!!Estimate","North Dakota!!Percent owner-occupied housing units!!Margin of Error","North Dakota!!Renter-occupied housing units!!Estimate","North Dakota!!Renter-occupied housing units!!Margin of Error","North Dakota!!Percent renter-occupied housing units!!Estimate","North Dakota!!Percent renter-occupied housing units!!Margin of Error","South Dakota!!Occupied housing units!!Estimate","South Dakota!!Occupied housing units!!Margin of Error","South Dakota!!Percent occupied housing units!!Estimate","South Dakota!!Percent occupied housing units!!Margin of Error","South Dakota!!Owner-occupied housing units!!Estimate","South Dakota!!Owner-occupied housing units!!Margin of Error","South Dakota!!Percent owner-occupied housing units!!Estimate","South Dakota!!Percent owner-occupied housing units!!Margin of Error","South Dakota!!Renter-occupied housing units!!Estimate","South Dakota!!Renter-occupied housing units!!Margin of Error","South Dakota!!Percent renter-occupied housing units!!Estimate","South Dakota!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","1,337,243","±6,646","1,337,243","±6,646","959,743","±10,180","959,743","±10,180","377,500","±8,256","377,500","±8,256","2,344,432","±8,041","2,344,432","±8,041","1,687,695","±13,737","1,687,695","±13,737","656,737","±11,691","656,737","±11,691","813,864","±4,244","813,864","±4,244","539,532","±6,047","539,532","±6,047","274,332","±5,917","274,332","±5,917","338,059","±3,608","338,059","±3,608","215,363","±4,411","215,363","±4,411","122,696","±4,299","122,696","±4,299","378,559","±3,320","378,559","±3,320","262,639","±4,539","262,639","±4,539","115,920","±4,390","115,920","±4,390"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $5,000","35,005","±3,497","2.6%","±0.3","14,319","±1,716","1.5%","±0.2","20,686","±2,807","5.5%","±0.7","54,926","±3,631","2.3%","±0.2","21,740","±1,987","1.3%","±0.1","33,186","±3,184","5.1%","±0.5","21,392","±2,324","2.6%","±0.3","8,995","±1,558","1.7%","±0.3","12,397","±1,490","4.5%","±0.6","9,855","±1,853","2.9%","±0.5","2,727","±557","1.3%","±0.3","7,128","±1,772","5.8%","±1.5","9,948","±1,404","2.6%","±0.4","4,694","±1,085","1.8%","±0.4","5,254","±1,105","4.5%","±1.0"
"        $5,000 to $9,999","21,619","±2,148","1.6%","±0.2","8,845","±1,404","0.9%","±0.1","12,774","±1,680","3.4%","±0.4","33,924","±2,667","1.4%","±0.1","15,117","±1,863","0.9%","±0.1","18,807","±2,266","2.9%","±0.3","15,496","±2,251","1.9%","±0.3","4,933","±902","0.9%","±0.2","10,563","±2,120","3.9%","±0.8","5,835","±1,307","1.7%","±0.4","1,949","±657","0.9%","±0.3","3,886","±1,194","3.2%","±0.9","6,282","±1,554","1.7%","±0.4","1,646","±467","0.6%","±0.2","4,636","±1,385","4.0%","±1.2"
"        $10,000 to $14,999","44,300","±2,968","3.3%","±0.2","16,072","±1,666","1.7%","±0.2","28,228","±2,609","7.5%","±0.7","68,531","±3,521","2.9%","±0.2","26,169","±2,569","1.6%","±0.2","42,362","±2,998","6.5%","±0.5","25,766","±2,425","3.2%","±0.3","9,126","±1,358","1.7%","±0.3","16,640","±2,182","6.1%","±0.8","11,218","±1,474","3.3%","±0.4","4,290","±924","2.0%","±0.4","6,928","±1,144","5.6%","±0.9","13,332","±1,484","3.5%","±0.4","5,169","±1,030","2.0%","±0.4","8,163","±1,312","7.0%","±1.1"
"        $15,000 to $19,999","42,629","±3,511","3.2%","±0.3","20,160","±2,122","2.1%","±0.2","22,469","±2,841","6.0%","±0.7","63,125","±4,414","2.7%","±0.2","27,503","±2,504","1.6%","±0.1","35,622","±3,672","5.4%","±0.6","24,943","±2,949","3.1%","±0.4","9,529","±1,436","1.8%","±0.3","15,414","±2,571","5.6%","±0.9","9,587","±1,499","2.8%","±0.4","3,597","±808","1.7%","±0.4","5,990","±1,254","4.9%","±1.0","14,199","±1,951","3.8%","±0.5","5,663","±1,065","2.2%","±0.4","8,536","±1,783","7.4%","±1.5"
"        $20,000 to $24,999","47,847","±3,523","3.6%","±0.3","25,303","±2,554","2.6%","±0.3","22,544","±2,506","6.0%","±0.7","65,718","±5,040","2.8%","±0.2","31,346","±2,603","1.9%","±0.2","34,372","±3,768","5.2%","±0.6","27,741","±2,592","3.4%","±0.3","11,820","±1,577","2.2%","±0.3","15,921","±2,087","5.8%","±0.8","13,016","±2,039","3.9%","±0.6","4,868","±1,181","2.3%","±0.5","8,148","±1,736","6.6%","±1.4","12,636","±1,828","3.3%","±0.5","6,756","±1,183","2.6%","±0.4","5,880","±1,194","5.1%","±1.0"
"        $25,000 to $34,999","107,058","±5,486","8.0%","±0.4","55,633","±3,744","5.8%","±0.4","51,425","±3,941","13.6%","±1.0","135,720","±6,983","5.8%","±0.3","70,595","±3,886","4.2%","±0.2","65,125","±5,468","9.9%","±0.8","54,845","±3,092","6.7%","±0.4","25,849","±2,017","4.8%","±0.4","28,996","±2,833","10.6%","±1.0","24,266","±2,770","7.2%","±0.8","8,939","±1,224","4.2%","±0.6","15,327","±2,572","12.5%","±2.1","28,567","±2,908","7.5%","±0.8","12,774","±1,782","4.9%","±0.7","15,793","±2,425","13.6%","±2.0"
"        $35,000 to $49,999","162,712","±6,280","12.2%","±0.5","99,000","±4,633","10.3%","±0.5","63,712","±4,222","16.9%","±1.1","227,209","±6,975","9.7%","±0.3","131,311","±4,536","7.8%","±0.3","95,898","±5,141","14.6%","±0.8","90,860","±4,495","11.2%","±0.6","44,931","±3,069","8.3%","±0.6","45,929","±3,711","16.7%","±1.3","35,562","±3,279","10.5%","±1.0","18,331","±1,992","8.5%","±0.9","17,231","±2,454","14.0%","±1.9","44,842","±3,508","11.8%","±0.9","26,614","±2,425","10.1%","±0.9","18,228","±2,104","15.7%","±1.8"
"        $50,000 to $74,999","237,838","±7,334","17.8%","±0.5","167,797","±5,949","17.5%","±0.6","70,041","±4,451","18.6%","±1.1","379,425","±9,761","16.2%","±0.4","251,674","±7,057","14.9%","±0.4","127,751","±7,099","19.5%","±1.0","147,769","±5,612","18.2%","±0.7","89,153","±4,461","16.5%","±0.8","58,616","±4,098","21.4%","±1.4","56,090","±3,605","16.6%","±1.1","30,875","±2,939","14.3%","±1.3","25,215","±2,787","20.6%","±2.1","68,057","±3,988","18.0%","±1.0","46,038","±3,294","17.5%","±1.2","22,019","±2,513","19.0%","±2.1"
