ZIP,state,far1,far2,far3,far4,gridpop,sqmi,density,fr1pop,fr2pop,fr3pop,fr4pop,pctfr1,pctfr2,pctfr3,pctfr4
01001,MA,0,0,0,0,"16,813",12.1,1391.8,0,0,0,0,0.0,0.0,0.0,0.0
01002,MA,0,0,0,0,"32,490",58.1,559.3,0,0,0,0,0.0,0.0,0.0,0.0
01003,MA,0,0,0,0,"3,834",0.8,4853.2,0,0,0,0,0.0,0.0,0.0,0.0
01005,MA,0,0,0,0,"5,113",44.6,114.7,0,0,0,0,0.0,0.0,0.0,0.0
01007,MA,0,0,0,0,"13,203",55.9,236.4,0,0,0,0,0.0,0.0,0.0,0.0
01008,MA,0,0,0,0,"1,364",57.5,23.7,0,0,0,0,0.0,0.0,0.0,0.0
01010,MA,0,0,0,0,"3,457",36.5,94.8,0,0,0,0,0.0,0.0,0.0,0.0
01011,MA,0,0,0,0,"1,256",30.2,41.6,0,0,0,0,0.0,0.0,0.0,0.0
01012,MA,0,0,0,0,449,8.3,53.8,0,0,0,0,0.0,0.0,0.0,0.0
01013,MA,0,0,0,0,"22,611",6.5,3505.6,0,0,0,0,0.0,0.0,0.0,0.0
01020,MA,0,0,0,0,"29,896",12.7,2350.3,0,0,0,0,0.0,0.0,0.0,0.0
01022,MA,0,0,0,0,"2,392",5.0,482.3,0,0,0,0,0.0,0.0,0.0,0.0
01026,MA,0,0,0,0,"1,122",30.6,36.6,0,0,0,0,0.0,0.0,0.0,0.0
01027,MA,0,0,0,0,"16,831",41.4,406.7,0,0,0,0,0.0,0.0,0.0,0.0
01028,MA,0,0,0,0,"15,084",12.8,1178.4,0,0,0,0,0.0,0.0,0.0,0.0
01030,MA,0,0,0,0,"11,105",12.6,881.3,0,0,0,0,0.0,0.0,0.0,0.0
01031,MA,0,0,0,0,"1,652",21.5,76.8,0,0,0,0,0.0,0.0,0.0,0.0
01032,MA,0,0,0,0,273,6.2,44.4,0,0,0,0,0.0,0.0,0.0,0.0
01033,MA,0,0,0,0,"6,323",28.5,222.2,0,0,0,0,0.0,0.0,0.0,0.0
01034,MA,0,0,0,0,"2,019",75.9,26.6,0,0,0,0,0.0,0.0,0.0,0.0
01035,MA,0,0,0,0,"5,042",24.4,206.4,0,0,0,0,0.0,0.0,0.0,0.0
01036,MA,0,0,0,0,"5,198",20.0,259.9,0,0,0,0,0.0,0.0,0.0,0.0
01038,MA,0,0,0,0,"2,543",10.7,237.7,0,0,0,0,0.0,0.0,0.0,0.0
01039,MA,0,0,0,0,"1,645",16.3,100.7,0,0,0,0,0.0,0.0,0.0,0.0
01040,MA,0,0,0,0,"40,544",22.8,1775.1,0,0,0,0,0.0,0.0,0.0,0.0
01050,MA,0,0,0,0,"2,406",42.6,56.5,0,0,0,0,0.0,0.0,0.0,0.0
01053,MA,0,0,0,0,"1,497",4.5,330.5,0,0,0,0,0.0,0.0,0.0,0.0
01054,MA,0,0,0,0,"1,668",22.8,73.3,0,0,0,0,0.0,0.0,0.0,0.0
01056,MA,0,0,0,0,"23,113",28.0,824.6,0,0,0,0,0.0,0.0,0.0,0.0
01057,MA,0,0,0,0,"8,202",44.0,186.4,0,0,0,0,0.0,0.0,0.0,0.0
01060,MA,0,0,0,0,"16,453",11.9,1379.1,0,0,0,0,0.0,0.0,0.0,0.0
01062,MA,0,0,0,0,"10,970",18.5,592.0,0,0,0,0,0.0,0.0,0.0,0.0
01066,MA,0,0,0,0,85,0.2,447.4,0,0,0,0,0.0,0.0,0.0,0.0
